codigo_bps;desc;quant;und;valor_unit;valor_total
BR0274918;"ACETATO DE RETINOL 
10.000UI/G + AMINOÁ-
CIDOS 25MG/G + METI-
ONINA 5 MG/G + CLO-
RANFENICOL 5MG/G";13;BISNAGA;R$        11,6700;R$ 151,71
BR0268370;"ACICLOVIR, DOSAGEM: 
200 MG";187200;COMPRIMIDO;R$          0,1800;R$ 33.696,00
BR0268375;"ACICLOVIR, DOSAGEM: 
50 MG,G, USO: CREME. 
EMBALAGEM 10G";14400;BISNAGA;R$          2,1500;R$ 30.960,00
BR0267502;"ÁCIDO ACETILSALICÍLICO 
100MG.";486000;COMPRIMIDO;R$          0,4170;R$ 202.662,00
BR0267501;"ÁCIDO ACETILSALICÍLICO 
500MG";1440;COMPRIMIDO;R$          0,1748;R$ 251,71
BR0271687;"ÁCIDO ASCÓRBICO, DO-
SAGEM: 100 MG,ML, 
TIPO USO: INJETÁVEL - 
AMPOLA 5ML.";1080;AMPOLA;R$          1,3723;R$ 1.482,08
BR0271689;"ÁCIDO ASCÓRBICO, DO-
SAGEM: 200 MG,ML, 
TIPO USO: SOLUÇÃO 
ORAL. EMBALAGEM 
30ML";21600;FRASCO;R$          8,8636;R$ 191.453,76
BR0271691;"ÁCIDO ASCÓRBICO, DO-
SAGEM: 500 MG";288000;COMPRIMIDO;R$          0,1689;R$ 48.643,20
BR0267503;ÁCIDO FÓLICO 5MG.;720000;COMPRIMIDO;R$          0,0411;R$ 29.592,00
BR0327566;"ÁCIDO TRANEXÂMICO, 
DOSAGEM: 50 MG,ML, 
FORMA FARMACÊU-
TICA: SOLUÇÃO INJETÁ-
VEL - AMPOLA 5ML.";312;AMPOLA;R$          4,6123;R$ 1.439,04
BR0278281;"ADENOSINA, DOSAGEM: 
3 MG,ML, INDICAÇÃO: 
SOLUÇÃO INJETÁVEL - 
AMPOLA 2ML.";360;AMPOLA;R$        10,7982;R$ 3.887,35
BR0276839;"ÁGUA DESTILADA, AS-
PECTO FÍSICO: ESTÉRIL E 
APIROGÊNICA 10ML.";28800;AMPOLA;R$          0,3750;R$ 10.800,00
BR0352317;"ÁGUA DESTILADA, AS-
PECTO FÍSICO: ESTÉRIL E 
APIROGÊNICA 500ML.";2880;FRASCO;R$          4,4513;R$ 12.819,74
BR0267506;"ALBENDAZOL, CONCEN-
TRAÇÃO: 400 MG, 
FORMA FARMACEU-
TICA: COMPRIMIDO 
MASTIGÁVE";187200;COMPRIMIDO;R$          0,3852;R$ 72.109,44
BR0267507;"ALBENDAZOL, DOSA-
GEM: 40 MG,ML, USO: 
SUSPENSÃO ORAL - EM-
BALAGEM 10ML.";14400;FRASCO;R$          1,1045;R$ 15.904,80
BR0269462;"ALENDRONATO DE SÓ-
DIO 70MG";43200;COMPRIMIDO;R$          0,2109;R$ 9.110,88
BR0267508;ALOPURINOL 100MG;109200;COMPRIMIDO;R$          0,1356;R$ 14.807,52
BR0446264;"AMBROXOL, COMPOSI-
ÇÃO: SAL CLORIDRATO, 
CONCENTRAÇÃO: 3 
MG,ML, FORMA FAR-
MACÊUTICA: XAROPE -
FRASCO 100ML";21840;FRASCO;R$          2,9574;R$ 64.589,62
BR0446263;"AMBROXOL, COMPOSI-
ÇÃO: SAL CLORIDRATO, 
CONCENTRAÇÃO: 6 
MG,ML, FORMA FAR-
MACÊUTICA: XAROPE - 
FRASCO 100ML";21600;FRASCO;R$          4,4115;R$ 95.288,40
BR0267511;AMINOFILINA 100MG;31200;COMPRIMIDO;R$          0,0850;R$ 2.652,00
BR0292402;"AMINOFILINA, DOSA-
GEM: 24 MG,ML, 
FORMA FARMACÊU-
TICA: SOLUÇÃO INJETÁ-
VEL - AMPOLA 10ML.";600;AMPOLA;R$          5,4924;R$ 3.295,44
BR0267510;"AMIODARONA, DOSA-
GEM: 200 MG";108000;COMPRIMIDO;R$          0,3611;R$ 38.998,80
BR0271710;"AMIODARONA, DOSA-
GEM: 50MG,ML, INDI-
CAÇÃO: INJETÁVEL- AM-
POLA 3ML.";480;AMPOLA;R$          2,3979;R$ 1.150,99
BR0271217;"AMOXICILINA  500MG + 
CLAVULANATO DE PO-
TÁSSIO 125MG";105300;COMPRIMIDO;R$          2,2729;R$ 239.336,37
BR0448842;"AMOXICILINA  50MG + 
CLAVULANATO DE PO-
TÁSSIO 12,5MG";12480;FRASCO;R$          4,9600;R$ 61.900,80
BR0271089;"AMOXICILINA, CONCEN-
TRAÇÃO: 500MG";585000;CÁPSULA;R$          0,2291;R$ 134.023,50
BR0271111;"AMOXICILINA, CONCEN-
TRAÇÃO: 50MG,ML, 
APRESENTAÇÃO: PÓ 
PARA SUSPENSÃO ORAL 
EMBALAGEM CON-
TENDO 60ML.""";18720;FRASCO;R$          4,7509;R$ 88.936,85
BR0267515;AMPICILINA 500MG;28800;COMPRIMIDO;R$          0,4175;R$ 12.024,00
BR0448843;"AMPICILINA 50MG/ML - 
FRASCO 60ML";7800;FRASCO;R$          4,9313;R$ 38.464,14
BR0268896;"ANLODIPINO BESILATO, 
DOSAGEM: 10 MG";936000;COMPRIMIDO;R$          0,0649;R$ 60.746,40
BR0272434;"ANLODIPINO BESILATO, 
DOSAGEM: 5 MG";1080000;COMPRIMIDO;R$          0,0255;R$ 27.540,00
BR0395716;"AROEIRA (SCHINUS TE-
REBINTHIFOLIA RADDI)  
- BISNAGA 60G";4320;BISNAGA;R$        12,8007;R$ 55.299,02
BR0267518;"ATENOLOL, DOSAGEM: 
100 MG";124800;COMPRIMIDO;R$          0,1048;R$ 13.079,04
BR0267516;"ATENOLOL, DOSAGEM: 
25 MG";420000;COMPRIMIDO;R$          0,4008;R$ 168.336,00
BR0267517;"ATENOLOL, DOSAGEM: 
50 MG";360000;COMPRIMIDO;R$          0,0595;R$ 21.420,00
BR0268214;"ATROPINA SULFATO, 
DOSAGEM: 0,25 
MG,ML, USO: SOLUÇÃO 
INJETÁVEL";1200;AMPOLA;R$          1,2940;R$ 1.552,80
BR0268949;"AZITROMICINA, DOSA-
GEM: 40 MG,ML, APRE-
SENTAÇÃO: SUSPENSÃO 
ORAL - FRASCO 15ML.";16380;FRASCO;R$          6,3524;R$ 104.052,31
BR0267140;"AZITROMICINA, DOSA-
GEM: 500 MG";292500;COMPRIMIDO;R$          0,7997;R$ 233.912,25
BR0271746;"BACLOFENO, CONCEN-
TRAÇÃO: 10 MG";7020;COMPRIMIDO;R$          0,1453;R$ 1.020,01
BR0267582;"BECLOMETASONA SUS-
PENSÃO  NASAL  
50MCG";8190;FRASCO;R$        24,0482;R$ 196.954,76
BR0270612;"BENZILPENICILINA, 
APRESENTAÇÃO: BEN-
ZATINA, DOSAGEM: 
1.200.000UI, USO: INJE-
TÁVEL";16380;FRASCO/AMPOLA;R$          7,6599;R$ 125.469,16
BR0270613;"BENZILPENICILINA, 
APRESENTAÇÃO: BEN-
ZATINA, DOSAGEM: 
600.000UI, USO: INJE-
TÁVEL";4680;FRASCO/AMPOLA;R$          9,0322;R$ 42.270,70
BR0276097;"BICARBONATO DE SÓ-
DIO, DOSAGEM: 10%, 
USO: SOLUÇÃO INJETÁ-
VEL - AMPOLA 10ML.";1248;AMPOLA;R$          1,4685;R$ 1.832,69
BR0268222;"BICARBONATO DE SÓ-
DIO, DOSAGEM: 8,4%, 
USO: SOLUÇÃO INJETÁ-
VEL - AMPOLA 10ML.";624;AMPOLA;R$          0,9956;R$ 621,25
BR0269954;"BROMOPRIDA, DOSA-
GEM: 10 MG";62400;COMPRIMIDO;R$          0,1976;R$ 12.330,24
BR0269956;"BROMOPRIDA, DOSA-
GEM: 4 MG,ML, APRE-
SENTAÇÃO: GOTAS- 
FRASCO 20ML .";7020;FRASCO;R$          1,8698;R$ 13.126,00
BR0269958;"BROMOPRIDA, DOSA-
GEM: 5 MG,ML, APRE-
SENTAÇÃO: INJETÁVEL - 
AMPOLA 2ML.";720;AMPOLA;R$          1,9131;R$ 1.377,43
BR0267613;"CAPTOPRIL, CONCEN-
TRAÇÃO: 25 MG";540000;COMPRIMIDO;R$          0,0319;R$ 17.226,00
BR0449010;"CARBOCISTEÍNA 
20MG/ML- FRASCO 
100ML";15600;FRASCO;R$          3,6736;R$ 57.308,16
BR0449011;"CARBOCISTEÍNA 
50MG/ML- FRASCO 
100ML";19200;FRASCO;R$          4,6062;R$ 88.439,04
BR0270895;"CARBONATO DE CÁLCIO 
500MG";390000;COMPRIMIDO;R$          0,0800;R$ 31.200,00
BR0407241;"CARBONATO DE CÁLCIO 
500MG  + CALECALCIFE-
ROL 400UI";468000;COMPRIMIDO;R$          0,0558;R$ 26.114,40
BR0267564;"CARVEDILOL, DOSA-
GEM: 12,5 MG";218400;COMPRIMIDO;R$          0,1074;R$ 23.456,16
BR0267567;"CARVEDILOL, DOSA-
GEM: 25 MG";421200;COMPRIMIDO;R$          0,1424;R$ 59.978,88
BR0267566;"CARVEDILOL, DOSA-
GEM: 3,125 MG";218400;COMPRIMIDO;R$          0,0921;R$ 20.114,64
BR0267565;"CARVEDILOL, DOSA-
GEM: 6,25 MG";312000;COMPRIMIDO;R$          0,0965;R$ 30.108,00
BR0331555;"CEFALEXINA, DOSA-
GEM: 50 MG,ML, 
FORMA FARMACÊU-
TICA: PÓ P, SUSPENSÃO 
ORAL.FRASCO 100ML.";16380;FRASCO;R$          9,8621;R$ 161.541,20
BR0267625;"CEFALEXINA, DOSA-
GEM: 500 MG";327600;DRÁGEA;R$          0,4470;R$ 146.437,20
BR0308736;"CETOCONAZOL  CREME 
2% - BISNAGA";15600;BISNAGA;R$          3,1399;R$ 48.982,44
BR0271103;"CETOCONAZOL 2% 
XAMPU - 100ML";12480;FRASCO;R$          5,4905;R$ 68.521,44
BR0267151;CETOCONAZOL 200MG;124800;COMPRIMIDO;R$          0,2912;R$ 36.341,76
BR0268422;CETOPROFENO 50MG;62400;COMPRIMIDO;R$          0,3374;R$ 21.053,76
BR0448844;"CETOPROFENO, CON-
CENTRAÇAO: 100MG, IV 
FARMACEUTICA: SOLU-
ÇÃO INJETÁVEL - 
FRASCO- AMPOLA";720;FRASCO/AMPOLA;R$          3,9340;R$ 2.832,48
BR0448845;"CETOPROFENO, CON-
CENTRAÇAO: 50 
MG,ML, FORMA FAR-
MACEUTICA: SOLUÇÃO 
INJETÁVEL - AMPOLA 
2ML.";600;AMPOLA;R$          2,1149;R$ 1.268,94
BR0340167;"CIMETIDINA, CONCEN-
TRAÇÃO: 150 MG,ML, 
FORMA FARMACEU-
TICA: SOLUÇÃO INJETÁ-
VEL. AMOPLA 2ML";1560;AMPOLA;R$          1,4906;R$ 2.325,34
BR0267629;CINARIZINA 75MG;43200;COMPRIMIDO;R$          0,3338;R$ 14.420,16
BR0267632;"CIPROFLOXACINO CLO-
RIDRATO, DOSAGEM: 
500 MG";292500;COMPRIMIDO;R$          0,2415;R$ 70.638,75
BR0268436;CLINDAMICINA 300MG;117000;CÁPSULA;R$          1,2898;R$ 150.906,60
BR0272043;"CLONIDINA CLORI-
DRATO, CONCENTRA-
ÇÃO: 0,1 00MG";720;COMPRIMIDO;R$          0,2649;R$ 190,73
BPS0272044;"CLONIDINA CLORI-
DRATO, CONCENTRA-
ÇÃO: 0,150 MG";720;COMPRIMIDO;R$          0,4600;R$ 331,20
BR02772045;"CLOPIDOGREL, DOSA-
GEM: 75 MG";720;COMPRIMIDO;R$          0,2879;R$ 207,29
BR0267162;"CLORETO DE POTÁSSIO, 
DOSAGEM: 19,1%, 
APRESENTAÇÃO: SOLU-
ÇÃO INJETÁVEL - AM-
POLA 10ML.";1200;AMPOLA;R$          0,5708;R$ 684,96
BR0371273;"CLORETO DE SÓDIO, 
CONCENTRAÇAO: 0,9 %, 
FORMA FARMACEU-
TICA: SOLUÇÃO ESTÉRIL 
NÃO INJETÁVEL. 
FRASCO 250ML";42120;FRASCO;R$          2,9590;R$ 124.633,08
BR0437160;"CLORETO DE SÓDIO, 
CONCENTRAÇAO: 0,9 %, 
FORMA FARMACEU-
TICA: SOLUÇÃO NASAL. 
FRASCO 20ML.";14400;FRASCO;R$          2,0210;R$ 29.102,40
BR0267574;"CLORETO DE SÓDIO, 
CONCENTRAÇAO: 20%, 
APRESENTAÇAO: SOLU-
ÇÃO INJETÁVEL - AM-
POLA 10ML";1200;AMPOLA;R$          0,8301;R$ 996,12
BR0268236;"CLORETO DE SÓDIO, 
PRINCÍPIO ATIVO: 0,9%_ 
SOLUÇÃO INJETÁVEL, 
APLICAÇÃO: SISTEMA 
FECHADO - 100ML.";1560;FRASCO;R$          3,6917;R$ 5.759,05
BR0268237;"CLORETO DE SÓDIO, 
PRINCÍPIO ATIVO: 0,9%_ 
SOLUÇÃO INJETÁVEL, 
APLICAÇÃO: SISTEMA 
FECHADO - 10ML.";936;AMPOLA;R$          0,3651;R$ 341,73
BR0268236;"CLORETO DE SÓDIO, 
PRINCÍPIO ATIVO: 0,9%_ 
SOLUÇÃO INJETÁVEL, 
APLICAÇÃO: SISTEMA 
FECHADO - 500ML.";2184;FRASCO;R$          5,1289;R$ 11.201,52
BR0270495;"COLAGENASE, APRE-
SENTAÇÃO: ASSOCIADA 
COM CLORANFENICOL, 
CONCENTRAÇÃO: 0,6UI 
+ 1%, USO: POMADA. 
EMBALAGEM 30G";9360;BISNAGA;R$        10,1314;R$ 94.829,90
CÓDIGO BPS;DESCRIÇÃO DO PRODUTO;QUANT.;UND;Média;V. Uni.
BR0276283;"DESLANÓSIDO, DOSA-
GEM: 0,2 MG,ML, APRE-
SENTAÇÃO: SOLUÇÃO 
INJETÁVEL - AMPOLA 
2ML.";360;AMPOLA;R$          2,3779;R$ 856,04
BR0269388;DEXAMETASONA 4MG;140400;COMPRIMIDO;R$          0,2200;R$ 30.888,00
BR0268243;"DEXAMETASONA, DO-
SAGEM: 0,1 MG,ML, 
APRESENTAÇÃO: ELIXIR 
- FRASCO 100ML.";17280;FRASCO;R$          2,6762;R$ 46.244,74
BR0267643;"DEXAMETASONA, DO-
SAGEM: 0,1%, APRE-
SENTAÇÃO: CREME- BIS-
NAGA 10G.";28800;BISNAGA;R$          1,2655;R$ 36.446,40
